trait,description
BXD_22830,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU490 (Firmicutes;Clostridiales;Veillonellaceae;Veillonelladispar) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22831,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU491 (Firmicutes;Erysipelotrichales;Erysipelotrichaceae;Clostridiumcocleatum) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22832,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU492 (Firmicutes;Clostridiales;Ruminococcaceae;Oscillospira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22833,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU493 (Firmicutes;Lactobacillales;Lactobacillaceae;Lactobacillus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22834,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU494 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22835,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU495 (Firmicutes;Clostridiales;Lachnospiraceae;0.99) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22836,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU496 (Firmicutes;Clostridiales;Ruminococcaceae;0.65) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22837,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU497 (Firmicutes;Clostridiales;Dehalobacteriaceae;Dehalobacterium) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22838,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU498 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22839,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU499 (Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22840,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU5 (Firmicutes;Lactobacillales;Lactobacillaceae;Lactobacillus0.88) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22841,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU50 (Firmicutes;Clostridiales;Lachnospiraceae;Blautiaproducta) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22842,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU500 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22843,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU501 (Bacteroidetes;Bacteroidales;Rikenellaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22844,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU502 (Firmicutes;Clostridiales;[Mogibacteriaceae]) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22845,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU503 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22846,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU504 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22847,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU505 (Firmicutes;Clostridiales;0.85) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22848,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU506 (Firmicutes;Clostridiales;Lachnospiraceae;0.51) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22849,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU507 (Proteobacteria;Desulfovibrionales;Desulfovibrionaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22850,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU508 (Firmicutes;Clostridiales;Ruminococcaceae;0.94) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22851,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU509 (Firmicutes;Clostridiales;Lachnospiraceae;0.88) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22852,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU51 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22853,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU510 (Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella0.54) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22854,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU511 (Proteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonasveronii) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22855,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU512 (Firmicutes;Clostridiales;Clostridiaceae;0.65) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22856,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU513 (Tenericutes;RF39) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22857,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU514 (Proteobacteria;Burkholderiales;Alcaligenaceae;Sutterella) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22858,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU515 (Firmicutes;Clostridiales;Ruminococcaceae;0.98) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22859,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU516 (Firmicutes;Clostridiales;0.97) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22860,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU517 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22861,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU518 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22862,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU519 (Firmicutes;Clostridiales;Lachnospiraceae;0.73) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22863,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU52 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22864,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU520 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22865,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU521 (Firmicutes;Clostridiales;Lachnospiraceae;0.84) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22866,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU522 (Firmicutes;Clostridiales;Clostridiaceae;Clostridium0.93) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22867,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU523 (Firmicutes;Lactobacillales;Leuconostocaceae;Leuconostocfallax) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22868,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU524 (Firmicutes;Clostridiales;Ruminococcaceae;Oscillospira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22869,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU525 (Firmicutes;Clostridiales;Ruminococcaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22870,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU526 (Firmicutes;Clostridiales;Ruminococcaceae;0.59) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22871,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU527 (Proteobacteria;Burkholderiales;Oxalobacteraceae;Ralstonia) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22872,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU528 (0.9;) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22873,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU529 (Firmicutes;Clostridiales;Ruminococcaceae;0.51) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22874,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU53 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22875,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU530 (Proteobacteria;Campylobacterales;Helicobacteraceae;Flexispira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22876,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU531 (Bacteroidetes;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22877,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU532 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22878,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU533 (Firmicutes;Clostridiales;Ruminococcaceae;0.99) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22879,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU534 (Firmicutes;Clostridiales;Ruminococcaceae;Oscillospira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22880,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU535 (Firmicutes;Clostridiales;0.89) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22881,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU536 (Actinobacteria;Coriobacteriales;Coriobacteriaceae;Adlercreutzia) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22882,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU537 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22883,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU538 (Firmicutes;Clostridiales;Ruminococcaceae;0.97) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22884,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU539 (Firmicutes;Clostridiales;Ruminococcaceae;0.53) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22885,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU54 (Firmicutes;Clostridiales;Lachnospiraceae;[Ruminococcus]gnavus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22886,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU540 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22887,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU541 (Firmicutes;Clostridiales;0.83) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22888,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU542 (Firmicutes;Clostridiales;Ruminococcaceae;0.68) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22889,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU543 (Firmicutes;Clostridiales;Ruminococcaceae;Oscillospira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22890,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU544 (Firmicutes;Clostridiales;Ruminococcaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22891,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU545 (Firmicutes;Clostridiales;0.61) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22892,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU546 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22893,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU547 (0.91;) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22894,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU548 (Firmicutes;Clostridiales;0.81) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22895,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU549 (Firmicutes;Clostridiales;Lachnospiraceae;1) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22896,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU55 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22897,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU550 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22898,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU551 (Firmicutes;Clostridiales;Lachnospiraceae;Coprococcus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22899,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU552 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22900,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU553 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22901,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU554 (Firmicutes;Bacillales;Bacillaceae;Bacillusflexus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22902,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU555 (Firmicutes;Clostridiales;Lachnospiraceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22903,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU556 (Firmicutes;Clostridiales;0.74) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22904,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU557 (Firmicutes;Clostridiales;Ruminococcaceae;0.51) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22905,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU558 (Proteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22906,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU559 (Firmicutes;Clostridiales;Ruminococcaceae;Oscillospira) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22907,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU56 (Firmicutes;Clostridiales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22908,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU560 (Firmicutes;0.56) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22909,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU561 (Firmicutes;Clostridiales;0.76) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22910,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU562 (Firmicutes;Clostridiales;Lachnospiraceae;0.96) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22911,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU563 (Firmicutes;Clostridiales;Lachnospiraceae;0.52) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22912,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU564 (Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22913,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU565 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22914,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU566 (Tenericutes;RF39) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22915,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU567 (Firmicutes;) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22916,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU568 (Firmicutes;Clostridiales;0.55) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22917,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU569 (Firmicutes;Clostridiales;Lachnospiraceae;[Ruminococcus]gnavus) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22918,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU57 (Verrucomicrobia;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansiamuciniphila) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22919,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU570 (Bacteroidetes;Bacteroidales;S24-7) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22920,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU571 (Actinobacteria;Coriobacteriales;Coriobacteriaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22921,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU572 (Firmicutes;Clostridiales;Lachnospiraceae;0.99) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22922,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU573 (Proteobacteria;Burkholderiales;Comamonadaceae;Comamonas) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22923,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU574 (Bacteroidetes;Bacteroidales) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22924,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU575 (Firmicutes;Clostridiales;0.93) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22925,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU576 (Firmicutes;Clostridiales;Ruminococcaceae;0.55) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22926,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU577 (Actinobacteria;Actinomycetales;Actinomycetaceae;0.75) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22927,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU578 (Firmicutes;Clostridiales;Ruminococcaceae) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
BXD_22928,"Metagenome, microbiota, gastrointestinal system, metabolism: OTU579 (Firmicutes;Clostridiales;Lachnospiraceae;Dorea) proportion assessed by 16S rRNA sequencing of cecum content from young adult males (3-6 months) on a high fat diet (HFD, EPFL LISP3 Cohort, 2014-2018) [log fraction]"
